STATUS | wrapper  | 2019/12/19 15:23:30 | Mycat-server installed.
STATUS | wrapper  | 2019/12/19 15:24:10 | Starting the Mycat-server service...
STATUS | wrapper  | 2019/12/19 15:24:10 | --> Wrapper Started as Service
STATUS | wrapper  | 2019/12/19 15:24:10 | Launching a JVM...
INFO   | jvm 1    | 2019/12/19 15:24:11 | Java HotSpot(TM) 64-Bit Server VM warning: Ignoring option MaxPermSize; support was removed in 8.0
INFO   | jvm 1    | 2019/12/19 15:24:11 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2019/12/19 15:24:11 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2019/12/19 15:24:11 | 
INFO   | jvm 1    | 2019/12/19 15:24:14 | MyCAT Server startup successfully. see logs in logs/mycat.log
INFO   | wrapper  | 2019/12/19 15:24:15 | Waiting to start...
STATUS | wrapper  | 2019/12/19 15:24:16 | Mycat-server started.
STATUS | wrapper  | 2019/12/19 15:25:12 | The Mycat-server Service is installed.
STATUS | wrapper  | 2019/12/19 15:25:12 |   Start Type: Automatic
STATUS | wrapper  | 2019/12/19 15:25:12 |   Interactive: No
STATUS | wrapper  | 2019/12/19 15:25:12 |   Running: Yes
STATUS | wrapper  | 2019/12/19 16:10:58 | The Mycat-server Service is installed.
STATUS | wrapper  | 2019/12/19 16:10:58 |   Start Type: Automatic
STATUS | wrapper  | 2019/12/19 16:10:58 |   Interactive: No
STATUS | wrapper  | 2019/12/19 16:10:58 |   Running: Yes
STATUS | wrapper  | 2019/12/19 16:12:46 | Stopping the Mycat-server service...
STATUS | wrapper  | 2019/12/19 16:12:47 | <-- Wrapper Stopped
STATUS | wrapper  | 2019/12/19 16:12:49 | Mycat-server stopped.
STATUS | wrapper  | 2019/12/19 16:12:49 | Starting the Mycat-server service...
STATUS | wrapper  | 2019/12/19 16:12:49 | --> Wrapper Started as Service
STATUS | wrapper  | 2019/12/19 16:12:49 | Launching a JVM...
INFO   | jvm 1    | 2019/12/19 16:12:50 | Java HotSpot(TM) 64-Bit Server VM warning: Ignoring option MaxPermSize; support was removed in 8.0
